PG.ProteinGroups,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.NrOfPrecursorsUsedForQuantification,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.NrOfPrecursorsUsedForQuantification,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.NrOfPrecursorsUsedForQuantification,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.NrOfPrecursorsUsedForQuantification,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.NrOfPrecursorsUsedForQuantification,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.NrOfPrecursorsUsedForQuantification,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.NrOfPrecursorsUsedForQuantification,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.NrOfPrecursorsUsedForQuantification,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.NrOfPrecursorsUsedForQuantification,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.NrOfPrecursorsUsedForQuantification,[11] yanliu_20180406_Phos_Noco_1.raw.PG.NrOfPrecursorsUsedForQuantification,[12] yanliu_20180406_Phos_Noco_2.raw.PG.NrOfPrecursorsUsedForQuantification,[13] yanliu_20180406_Phos_Noco_3.raw.PG.NrOfPrecursorsUsedForQuantification,[14] yanliu_20180406_Phos_Noco_4.raw.PG.NrOfPrecursorsUsedForQuantification,[15] yanliu_20180406_Phos_Noco_5.raw.PG.NrOfPrecursorsUsedForQuantification,[16] yanliu_20180406_Phos_Noco_6.raw.PG.NrOfPrecursorsUsedForQuantification,[17] yanliu_20180406_Phos_Noco_7.raw.PG.NrOfPrecursorsUsedForQuantification,[18] yanliu_20180406_Phos_Noco_8.raw.PG.NrOfPrecursorsUsedForQuantification,[19] yanliu_20180406_Phos_Noco_9.raw.PG.NrOfPrecursorsUsedForQuantification,[20] yanliu_20180406_Phos_Noco_10.raw.PG.NrOfPrecursorsUsedForQuantification,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.Quantity,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.Quantity,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.Quantity,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.Quantity,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.Quantity,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.Quantity,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.Quantity,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.Quantity,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.Quantity,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.Quantity,[11] yanliu_20180406_Phos_Noco_1.raw.PG.Quantity,[12] yanliu_20180406_Phos_Noco_2.raw.PG.Quantity,[13] yanliu_20180406_Phos_Noco_3.raw.PG.Quantity,[14] yanliu_20180406_Phos_Noco_4.raw.PG.Quantity,[15] yanliu_20180406_Phos_Noco_5.raw.PG.Quantity,[16] yanliu_20180406_Phos_Noco_6.raw.PG.Quantity,[17] yanliu_20180406_Phos_Noco_7.raw.PG.Quantity,[18] yanliu_20180406_Phos_Noco_8.raw.PG.Quantity,[19] yanliu_20180406_Phos_Noco_9.raw.PG.Quantity,[20] yanliu_20180406_Phos_Noco_10.raw.PG.Quantity
Q3L8U1,4,3,4,3,2,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,109639.265625,53884.3828125,75739.828125,78804.671875,41566.265625,41204.17578125,110338.4921875,127145.0703125,83891,127743.390625,198843.765625,164763.96875,49439.48828125,48522.05078125,194283.703125,205252.734375,191164.96875,184330.703125,175521.8125,158519.515625
Q3MHD2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12995107,19706256,7903233,11261586,17076220,9014052,9290173,9013246,9306474,10107230,9639082,17278066,14984564,14289349,10474117,10475699,8834894,8570885,14286154,10485817
Q3MII6,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,1,2,624356,838126.25,558122.5,710449.5,714018.5,772993.125,681522.5625,621590.8125,577040,700081.75,625298.3125,312535.25,236225.25,326835.53125,397589.375,375757,350154.9375,365316.8125,553883.9375,235294.6875
Q3SY56,1,1,1,1,1,1,1,1,1,1,1,1,Filtered,1,Filtered,1,1,1,2,1,225628.921875,159425.71875,219344.6875,215478.046875,155508.78125,248206.40625,238013.890625,218852.171875,172060.234375,244807.46875,280611.65625,147199.890625,Filtered,241281.046875,Filtered,302152.53125,243824.390625,280816.03125,195250.53125,251891.921875
Q3T8J9,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,229601.90625,166197.1875,142736.78125,207801.390625,173087.3125,141191.1875,195396.125,187728.0625,170804.671875,200019.734375,262252.1875,287486.34375,211410.125,141362.65625,117543.265625,245258.8125,88926.421875,89742.421875,233390.453125,252430.640625
Q3V6T2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,509555.96875,503351.9375,488048.6875,493175.8125,481659.3125,525844.875,471550,512083.40625,440162.96875,485336.1875,671396.875,641438.75,808026.375,692919.5,744233.8125,911968.5,830982.0625,749671.125,890755,798864.9375
Q3YEC7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,607495.4375,622142.125,701316,982476.5,447648.75,925292.25,601962.5625,771816.25,573769.75,832158.6875,464151.0625,445883.65625,429293.59375,419136.21875,547317.75,589760.8125,452469.46875,443660.09375,437670.40625,405773.1875
Q3ZCQ8,3,4,3,1,3,2,4,4,4,3,4,2,4,2,2,1,4,3,3,4,53988.671875,78128.3359375,84115.84375,56376.75,117430.625,99122.46875,59091.69140625,62997.83984375,78003.3359375,95661.28125,48676.85546875,51816.2265625,48537.62109375,26109.873046875,33140.515625,64666.546875,48389.5078125,43017.140625,61114.4921875,44647.0546875
Q3ZCT1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,2,2,1,1,2,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,68646.859375,62122.640625,54550.8359375,40834.4296875,52801.453125,72533.53125,84236.1875,31642.9921875,64300.63671875,58786.1171875
Q3ZCW2,1,Filtered,Filtered,1,1,1,Filtered,1,1,1,1,2,1,2,2,3,1,2,1,2,186199.640625,Filtered,Filtered,230073.609375,200718.515625,233324.96875,Filtered,197431.75,182506.328125,220663.234375,695341.6875,571348.75,771436.625,669118.875,852847.875,1015278.875,755529.875,631773,834162.125,715724.875
Q460N5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,180916.46875,229917.765625,191993.78125,205541.171875,238730.34375,232995.5625,226757.890625,172968.265625,137017.296875,196433.203125,620557.0625,703572.3125,654441.125,772727.3125,734249.4375,713241.875,606734.375,648524.6875,706407.8125,621090
Q494U1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Filtered,1,1,1,217360.015625,248851.296875,253053.671875,277741.25,274230.71875,292589.65625,236709.9375,226764.59375,209532.921875,256155.578125,154461.5625,166462.234375,153507.171875,166657.53125,171333.765625,157666.515625,Filtered,156376.546875,132483.28125,139997.171875
Q494X3;Q9NQX6,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,2,2,2,1,2,2,2,2,2,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,8557.2314453125,11166.60546875,6618.11572265625,8645.6953125,5296.11767578125,7209.0078125,7408.0712890625,4153.45654296875,14777.6904296875,7929.22021484375
Q49A26,2,3,3,3,2,2,3,1,1,1,4,5,5,5,5,6,4,3,5,5,133601.28125,119130.875,64923.72265625,136052.515625,76882.78125,181734.984375,63276.16015625,204967.59375,188758.890625,201282.375,109591.6875,199086.40625,200384.0625,195073.84375,198387.59375,215685.75,131273.78125,132245.796875,181184.234375,160355.90625
Q49A88,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,4,167063.359375,156054.890625,157485.90625,164690.15625,229472.34375,148323.890625,155336.75,150770.71875,110754.53125,147320.8125,107725.75,73535.34375,130378.234375,99492.1875,106786.484375,92508.6640625,222735.09375,94321.9765625,80972.40625,84093.8046875
Q49AM3,Filtered,Filtered,Filtered,Filtered,1,1,Filtered,1,Filtered,1,1,1,2,2,2,1,1,1,2,2,Filtered,Filtered,Filtered,Filtered,154303.4375,196973.84375,Filtered,148742.265625,Filtered,75810.875,43197.92578125,44851.46875,95479.421875,122378.984375,115672.7734375,47920.828125,45780.23046875,44492.7109375,104412.8359375,84005.796875
Q49AN0,1,1,1,Filtered,1,Filtered,1,1,1,1,1,1,1,1,1,1,1,1,1,1,438117.75,616524.6875,473862.5,Filtered,643841,Filtered,422189.53125,453013.90625,299374.40625,398076.8125,386789.65625,381683.46875,385546.25,402889,369060.09375,341436.875,317468.96875,233831.6875,325187.875,255695.671875
Q49AR2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,62002.4765625,84009.75,61557.578125,48277.71875,73794,84672.1875,45517.0625,69794.171875,51619.5625,68583.9140625,58765.6015625,63332.09375,42470.359375,57747.140625,52717.6640625,53325.15625,54442.875,45865.03125,65722.1484375,50960.796875
Q49MG5,1,1,1,1,1,1,2,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,102969.1640625,94800.2578125,132768.65625,163759.8125,124733.8359375,200804.03125,85011.4375,128210.625,97919.34375,127711.3671875,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
Q4AC94,1,1,1,1,2,2,1,1,1,1,1,1,1,Filtered,1,1,1,1,1,1,288555.875,372341.34375,284409.375,330833.0625,335893.71875,336624.3125,285461.625,273930.78125,230570.59375,286435.28125,185527.984375,213705.046875,191122.5625,Filtered,212276.546875,214293.75,173700.828125,194789.015625,227148.125,166808.6875
Q4ADV7,2,3,2,1,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,492909.3125,730590.25,592211.875,678163.3125,542226.3125,689461.0625,677986.625,392784.15625,503591.8125,604239,396500.4375,401682.4375,249285.734375,369498.375,384894.9375,387837.4375,381229.3125,366441.6875,395183.34375,272308.09375
Q4FZB7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,315178.53125,292925.6875,195183.09375,277276.4375,273803.34375,278440.40625,190619.28125,220566.328125,223774.546875,170074.5625,131134.09375,214380.953125,138422.015625,172232.015625,129443.15625,129162.921875,158124.265625,109367.0546875,179991.828125,135666.859375
Q4G0F5,1,2,2,1,2,3,1,2,1,1,3,3,3,3,3,3,3,3,2,3,940659.125,769121,484463.75,713059.625,650193.6875,406182.5625,866960.75,517039.75,749579.75,972529.75,313180.09375,348890.96875,244240.9375,312121.59375,270164.03125,254466.171875,252857.515625,241025.578125,446642.75,252566.84375
Q4G0J3,4,5,4,5,5,5,4,5,6,4,6,3,6,6,6,5,5,6,4,6,5198470.5,3084931.5,4758737,4361733,3342741.25,4604177,3866040.75,3715308.75,1488171.625,4381461,1297816,988997.6875,1057591,1194817.5,1358556.5,1511610.25,1210746,1155441.375,1191421.625,999976.5
Q4G148,1,1,1,Filtered,1,1,1,1,Filtered,1,Filtered,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,1,1,40628.84375,51381.62109375,51749,Filtered,45046.7734375,50836.80859375,45633.80078125,54761.34765625,Filtered,96447.1875,Filtered,38713.44921875,Filtered,44653.27734375,Filtered,Filtered,Filtered,Filtered,33165.78125,39122.953125
Q4J6C6,1,Filtered,1,1,1,1,Filtered,Filtered,1,1,1,Filtered,Filtered,Filtered,1,Filtered,1,1,Filtered,1,6199.12890625,Filtered,28605.2109375,36017.859375,7868.619140625,13559.6298828125,Filtered,Filtered,16371.1025390625,6227.396484375,18276.876953125,Filtered,Filtered,Filtered,8297.9375,Filtered,7972.94970703125,9087.7958984375,Filtered,15272.1025390625
Q4KMP7,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2609603.75,3121198,2615988,2351008.75,2898060,2680586.5,2717785.75,2488110.5,2152626.25,2394362.5,3714680.5,3735168.75,3265163.5,3694860.75,3496894.75,3455608.25,3308000.25,3052457.25,3710400.75,2908465.5
Q4KMQ1,1,2,2,3,Filtered,Filtered,2,3,Filtered,2,3,2,2,3,3,3,3,3,3,2,1344284.625,754749.8125,682821,525836,Filtered,Filtered,695780,455666.125,Filtered,737304.5625,382570.6875,522800.1875,96931.65625,375527.09375,413489.5625,455378.0625,385648.375,417921.71875,426186.96875,80291.4921875
Q4KMQ2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,50039.70703125,36883.5234375,42210.4765625,43091.234375,53956.7109375,60694.875,56836.4375,43969.359375,34701.078125,37172.4375,42958.05078125,25133.384765625,37106.0078125,25403.0625,27132.419921875,32962.4453125,31876.642578125,51892,53852.015625,45978.44921875
Q4KMZ1,1,1,1,1,1,1,1,1,1,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,1,1,1,Filtered,62025.4140625,66056.2421875,58213.3671875,49401.0234375,67839.3125,66271.9921875,60791.69140625,60972.08203125,50668.2578125,65507.0234375,Filtered,34291.23828125,Filtered,Filtered,Filtered,Filtered,45363.125,32085.0625,39976.203125,Filtered
Q4L235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15867.2138671875,24740.21875,19652.2265625,15698.185546875,23549.83203125,18884.015625,20688.5078125,17006.443359375,13038.4033203125,15830.4765625,134739.625,181618.171875,176275.171875,174176.34375,157922.875,151814.4375,127659.171875,131938.96875,180450.046875,136410.265625
Q4LE39,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,681276.5,607269.6875,563152,671592.5625,670483.625,742847.8125,759648.125,459961.03125,467342.65625,712449.75,551074.125,959166.375,893355.5,1129688.625,1100983.125,1094358.75,968002,719501.4375,1119292.25,864537.375
Q4V328,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,3,3,49161.50390625,563148.875,407828.03125,492091.46875,373373.875,504257.78125,423613.125,443103.9375,381349.125,468444.4375,288711.21875,245543.390625,267152.0625,260774.359375,1166585.125,431138.96875,285643.65625,1029042.3125,389837.25,421106.4375
Q4V348;Q5TYW1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2,2,1,1,2,2,2,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,30529.55078125,27493.111328125,5091.158203125,7809.81298828125,29454.787109375,32448.271484375,41040.125,46868.62109375,5351.052734375,41509.9296875
Q4VC44,3,3,3,3,2,2,3,2,3,2,4,3,3,4,4,3,3,3,4,3,274584.375,250885.046875,247664.5625,188645.109375,381521.65625,303391,245243.859375,283053.875,193520.203125,302562.21875,302639.65625,352728.09375,367570.375,329370.125,221903.5625,448287.625,394284.3125,346380.21875,276037.375,356425.875
Q4VCS5,1,1,1,1,1,1,1,1,1,1,1,1,Filtered,1,Filtered,1,1,Filtered,2,1,120199.9296875,100889.015625,131172.578125,152203.59375,138526.1875,163430.046875,144530.859375,141768.515625,111232.984375,156689.34375,83163.78125,91672.84375,Filtered,90893.3359375,Filtered,243503.828125,108732.5234375,Filtered,99974.25,92155.828125
Q4ZG55,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,484610.15625,237093.1875,316472.59375,379067.125,446598.34375,481377.15625,420078.28125,169083.34375,338557.9375,425043.6875
Q4ZIN3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,Filtered,Filtered,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,180613.78125,232059.171875,221047.140625,242005.21875,189220.9375,Filtered,Filtered,131286.359375,252073.375,Filtered
Q504Q3,2,2,2,2,1,2,2,2,2,Filtered,3,3,3,3,3,2,2,2,3,3,346157.40625,299450.5625,335800.1875,330662.9375,553700.4375,397317.4375,302840.90625,312208.28125,301790.78125,Filtered,481891.5,496280.90625,501194.75,526195.0625,544806.1875,652100,599995.375,546033.5625,534934.625,414861.40625
Q52LA3,1,2,3,3,3,2,2,1,2,2,3,3,2,2,Filtered,2,1,2,3,3,2441877.75,1450128.375,676147.8125,832268.875,823592.25,1310919.375,1164257,2128978.75,911872.875,1204493.75,328929.875,237121.21875,30860.046875,79503.5859375,Filtered,83472.78125,865984.5,353673.59375,611697.25,301837.25
Q52LJ0,2,2,2,1,2,1,3,3,3,3,Filtered,1,3,2,1,Filtered,3,3,3,3,123828.6796875,136396.09375,77108.84375,32965.8515625,105104.96875,60469.76171875,62954.51171875,62649.9296875,134735.375,66959.953125,Filtered,34180.00390625,80426.5546875,41294.25,52041.8828125,Filtered,52470.546875,52103.61328125,55580.22265625,58368.57421875
Q52LR7,2,2,2,1,2,2,2,2,2,1,3,3,3,3,3,3,2,2,3,3,504363.375,457649.34375,421521.84375,848772.125,510082.65625,526543.0625,433704.4375,440124.8125,370832.125,786668.375,397840.28125,398434.125,372596.5625,402209.8125,398033.71875,389781,309137.75,331212.59375,394173.40625,343640.59375
Q52LW3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2402021.25,3004627.5,2204184.75,2437759,2667352,2667529.5,2448509.75,2326983,2036374.625,2246564.75,3129543.75,3975904,2540228.5,3426174.75,3159805.25,3650398.5,2902961.5,2952858.75,3422439.5,3031726.25
Q53EL6,3,4,3,3,3,3,3,3,3,3,3,4,3,2,2,4,3,4,4,3,3061028,2444888.25,621957,3606302.5,715609.8125,3448315,3321156.25,2789527.25,528120.6875,445189.28125,1289141.75,1102093.5,267510,411148.8125,404408,903327.25,345821.15625,855254.625,1069652.5,1302311.25
Q53EP0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4124359.75,4976153,3966321.5,3949499.75,5023620.5,4177627.5,4258961.5,3826614.5,2998194,3937834,3153836.25,3142702.5,2835155.25,3402780.25,3066910.75,3121198.75,2866887,2439347.5,3099417.5,2408349
Q53ET0,3,2,3,2,2,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,255723.78125,129126.65625,206727.78125,316923.03125,161472.5625,244325.40625,279749.75,403148.03125,166178.078125,403333.8125,155766.984375,160877.484375,126687.8515625,215552.765625,111547.46875,150668.953125,122199.5390625,140615.640625,186280.140625,241305.359375
Q53EU6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1245689.75,1769218.375,1670764.375,1606666.375,1728049.125,1535896.75,1498453.875,1207184.375,1245816.875,1295917.125,366754.65625,611058.125,674294.125,581622.0625,496296.0625,634437.125,414244.9375,546116.8125,590712.625,324507.8125
Q53EZ4,3,2,2,3,3,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,1878979.25,114743.0625,3015033.25,2207555.5,878980.125,3238186,1315951.875,2473683.25,92001.0390625,2400599,3310105.25,1573772.375,367662.71875,3319490,3794807,3856741.25,3889557,3118571,3186871.25,3639614
Q53F19,5,5,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,2290850.5,2480217.5,2217173.5,2229967.75,2832932.25,2036684.125,2163320,1877859.5,1479631.5,1882448.625,1647910.375,1976512.25,1852669.375,2085154.5,2005486.375,1851575.125,1598820,1461772.5,1761320.125,1774336.125
Q53FV1;Q8N138;Q9P0S3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,43061.23046875,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
Q53GA4,1,2,1,Filtered,Filtered,Filtered,1,Filtered,1,1,2,3,3,3,2,2,2,2,1,1,77841.3359375,55960.8984375,63522.4140625,Filtered,Filtered,Filtered,88286.4140625,Filtered,43655.3046875,53820.30078125,280226.9375,459332.90625,458335.40625,473618.125,284438.96875,265375.65625,537703,254531.453125,394678.125,375335.28125
Q53GG5,1,Filtered,Filtered,Filtered,Filtered,1,1,1,Filtered,Filtered,2,2,2,2,2,2,2,2,2,2,18440.712890625,Filtered,Filtered,Filtered,Filtered,26244.9765625,22701.87890625,23894.490234375,Filtered,Filtered,412453.875,335089.25,289261.90625,325478.125,393486.625,387809.0625,359107.28125,349893.3125,306262.78125,330578.9375
Q53GI3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,43100.828125,105876.234375,88473.0078125,109402.234375,118011.1015625,119357.515625,129514.1484375,90374.28125,102047.34375,97939.4140625
Q53GL7,2,3,2,2,2,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,491613,482065.96875,469320.1875,344574.625,609249.5625,376048.8125,525664.25,409034.78125,315094.78125,338033.71875,885742.875,782005.5,708424.5,857807.3125,848593.9375,837299.9375,752919.3125,695299.4375,807263.1875,675025.1875
Q53GS9,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,156660.25,198089.9375,274410.0625,180645.296875,199532.90625,266121.46875,210219.109375,212903,146805.34375,183431.34375,109662.1953125,127379.78125,74225.7421875,121456.8359375,119982.8359375,129263.828125,107958.828125,139420.734375,122874.140625,108324.859375
Q53GT1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,470846.71875,602667.6875,514294.59375,538751.75,639435.4375,618363.75,589548.5,506366.65625,418292.09375,516273.25,285149.4375,318241.5,342034.46875,307145.65625,543284.25,333099.34375,499029.75,427020,353578.0625,266490.875
Q53H12,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,3,3,2,3,943054.5625,1400208,1341739.375,726066.25,1571315.875,1277210.5,608487.125,737171.5625,655553.6875,587471.25,1055057.375,1294618,705189.75,1190885.625,985123.375,1034215.5625,527221.1875,546315.125,1110615.75,478917.25
Q53H47,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,3,3,3,3,127673.7109375,171907.078125,152483.015625,192540.109375,178863.46875,176321.40625,147077.3125,118393.84375,104078.9453125,145180.484375,774505.5625,432726.28125,295684.46875,478578.28125,457937.5625,419042.59375,263852.5625,425390.1875,279778.75,361384.28125
Q53H80,1,1,1,1,1,Filtered,1,1,Filtered,1,4,1,2,2,3,2,3,2,2,3,79972.0390625,96665.59375,73359.6953125,64285.47265625,77934.3984375,Filtered,63122.3203125,77895.7109375,Filtered,77188.7265625,94386.484375,7106.2880859375,64943.7578125,55649.4296875,72194.375,63487.765625,71700.734375,44441.3515625,62043.0390625,57344.671875
Q53HL2,2,2,3,2,1,3,1,1,2,2,3,4,4,4,3,3,3,3,4,4,675249.5,512754.75,412390.9375,668543,1045342.25,464725.53125,1066080,1123901.375,456869.90625,558577.25,1984420.75,1633444.75,1976820.25,2220475.5,2205416,1976789.5,1922441.75,1601486.5,1955231.5,1752061
Q53LP3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,345161.875,446578.1875,360152.125,385581.34375,600536.75,414347.1875,402063.03125,379664.59375,278588.03125,347834.34375,1456182,1724081.5,1446968,1719964.75,1616972.875,1533140.375,1348062.75,1432107.375,1614874.5,1434478.125
Q53QV2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,1186701.625,1456093.25,1101942.125,1117616,1340716.875,1256288.5,1095719.375,939420.25,993506.25,1091404.5,995473.4375,1514305.625,1891481.25,1197327.375,1266820.25,1274192.875,990076.0625,932079.875,1389611.25,1050188
Q53RE8,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,46967.203125,16668.291015625,16038.7724609375,26417.791015625,42458.09765625,53769.63671875,42880.9765625,48403.55859375,20261.107421875,41077.421875
Q53SF7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,218096.734375,241116.34375,216893.09375,214024.40625,222056.640625,247141.640625,193818.734375,193670.09375,163789.421875,213550.1875,332332.59375,344362.78125,350928.09375,365492.8125,385158.84375,378828.0625,299641.3125,314973.9375,334933.78125,303822.875
Q53T59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,654040.375,660256.125,634518.125,681843.5,663074,693497.75,616548.375,789622.25,555253.4375,682994.9375,683132.875,788367.8125,804118.5,784495.375,958301.5625,928199.4375,671873.375,797749.125,823354,667373.125
Q53TN4,2,2,1,3,2,2,1,2,2,2,2,3,2,2,3,2,3,3,2,1,126552.078125,148831.484375,185570.375,109771.234375,109212.3671875,212180.125,109659.484375,112865.734375,81987.7109375,94764.984375,89042.4609375,75116.03125,41808.5703125,76820.140625,81432.875,71999.84375,52806.79296875,72972.34375,62096.9296875,84707.0078125
Q53TQ3,1,1,1,1,1,Filtered,1,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,26591.169921875,58071.51171875,46795.40625,47552.84375,59653.33984375,Filtered,43785.80078125,Filtered,Filtered,Filtered,111743.5703125,128708.2890625,125522.6640625,133938.34375,104227.5625,122556.546875,115410.15625,100233.09375,106554.7265625,132526.40625
Q562E7,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,649483.375,711668.6875,505044.5,365760,568197.8125,727593.4375,555364,633164.75,418469.9375,880662.6875,347377.0625,470289.9375,413522.53125,473637.6875,483187.25,337172.1875,356793.53125,343156.03125,378726.21875,244748.9375
Q562F6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,70835.296875,68143.15625,58782.8046875,73073.75,82323.71875,86025.25,78468.3515625,79107.21875,106500.390625,66197.640625,199630.296875,205182.859375,157997.671875,238984.4375,176568.375,166428.546875,205984.78125,130181.7890625,240736.96875,187732.828125
Q567U6,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,260676.671875,154465.125,227430.984375,240116.203125,225484.140625,236387.078125,111110.65625,214609.546875,176187.5,205451.046875,480829.53125,519829.0625,475580.125,287950.71875,541570.25,491926.46875,414756.5625,417875.53125,479176.0625,369464.59375
Q56NI9,4,4,4,4,4,4,4,4,4,4,2,3,4,4,3,2,3,2,4,3,298348.6875,320208.78125,311839.25,319214.09375,289672.65625,318815.1875,265444.03125,289985.75,447524.65625,275957.46875,746085.25,448781.46875,169362.609375,504156.9375,518406.40625,476474.84375,452775.5625,593754.5625,398392.8125,485392.09375
Q56VL3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Filtered,3,3,3,2,3,66239.515625,63754.3125,46300.671875,61799.703125,54840.375,40490.4296875,73787.0078125,72144.078125,183436.796875,67678.3125,41288.28125,24845.7578125,71571.78125,42237.171875,Filtered,28049.712890625,38946.83984375,43660.4375,43608.98828125,50158.8984375
Q58A45,1,1,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,83555.5390625,120730.53125,54595.5625,Filtered,118342,Filtered,Filtered,Filtered,Filtered,Filtered,186994.359375,233193.796875,154604.515625,173999.90625,112175.609375,172664.8125,156046.28125,92236.8828125,229161.3125,139152.71875
